Index,Smarts,subscription
1,?,ISOTOPE
2,[#104],103 < ATOMIC NO. < 256
3,"[#32,#33,#34,#50,#51,#52,#82,#83,#84]","GROUP IVA,VA,VIA PERIODS 4-6 (Ge...)"
4,"[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr]",ACTINIDE
5,"[Sc,Ti,Y,Zr,Hf]","GROUP IIIB,IVB (Sc...)"
6,"[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu]",LANTHANIDE
7,"[V,Cr,Mn,Nb,Mo,Tc,Ta,W,Re]","GROUP VB,VIB,VIIB (V...)"
8,[!#6;!#1]1~*~*~*~1,QAAA@1
9,"[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt]",GROUP VIII (Fe...)
10,"[Be,Mg,Ca,Sr,Ba,Ra]",GROUP IIA (ALKALINE EARTH)
11,*1~*~*~*~1,4M RING
12,"[Cu,Zn,Ag,Cd,Au,Hg]","GROUP IB,IIB (Cu...)"
13,[#8]~[#7](~[#6])~[#6],ON(C)C
14,[#16]-[#16],S-S
15,[#8]~[#6](~[#8])~[#8],OC(O)O
16,[!#6;!#1]1~*~*~1,QAA@1
17,[#6]#[#6],"CTC"""
18,"[#5,#13,#31,#49,#81]",GROUP IIIA (B...)
19,*1~*~*~*~*~*~*~1,7M RING
20,[#14],SI
21,[#6]=[#6](~[!#6;!#1])~[!#6;!#1],C=C(Q)Q
22,*1~*~*~1,3M RING
23,[#7]~[#6](~[#8])~[#8],NC(O)O
24,[#7]-[#8],N-O
25,[#7]~[#6](~[#7])~[#7],NC(N)N
26,[#6]=;@[#6](@*)@*,C$=C($A)$A
27,[I],I
28,[!#6;!#1]~[CH2]~[!#6;!#1],QCH2Q
29,[#15],P
30,[#6]~[!#6;!#1](~[#6])(~[#6])~*,CQ(C)(C)A
31,"[!#6;!#1]~[F,Cl,Br,I]",QX
32,[#6]~[#16]~[#7],CSN
33,[#7]~[#16],NS
34,[CH2]=*,CH2=A
