name,smiles,exp_yield
Et2O,CCOCC,
acetone,CC(=O)C,
DMF,CN(C)C=O,0.0
EtOH,CCO,6.0
THF,C1CCOC1,83.0
MeCN,CC#N,33.0
fluorobenzene,Fc1ccccc1,78
MeNO2,C[N+](=O)[O-],
Toluene,CC1=CC=CC=C1,95
DCM,C(Cl)Cl,
chlorobenzene,C1=CC=C(C=C1)Cl,99.0
"1,2-DCE",C(CCl)Cl,95.0
DMSO,CS(=O)C,0.0
"1,4-dioxane",C1COCCO1,95.0
CHCl3,C(Cl)(Cl)Cl,
heptane,CCCCCCC,
o-xylene,CC1=CC=CC=C1C,
AcOEt,CCOC(=O)C,
MeOH,CO,
o-dichlorobenzene,C1=CC=C(C(=C1)Cl)Cl,
benzene,C1=CC=CC=C1,
n-PrOH,CCCO,
t-BuOH,CC(C)(C)O,
cyclohexane,C1CCCCC1,
CCl4,C(Cl)(Cl)(Cl)Cl,
"1,2-dimethoxyethane",COCCOC,
DMAc,CC(=O)N(C)C,
hexane,CCCCCC,
m-xylene,CC1=CC(=CC=C1)C,
